Temperature,Humidity,Wind_Speed,general_diffuse_flows,diffuse_flows,Zone_1_Power_Consumption,qcut_feat_1,class
11.5,72.0,0.078,0.07,0.078,40204.55696,50819.94157538462,1
11.43,72.0,0.075,0.051,0.07,39584.81013,51341.381558571426,1
11.29,72.2,0.075,0.051,0.119,39274.93671,46124.83586966387,1
11.49,73.1,0.077,0.044,0.085,39141.26582,49022.66582,1
12.24,70.1,0.077,0.073,0.089,38643.03797,48283.75707112359,1
11.84,68.78,0.074,0.066,0.093,38011.13924,46767.64676688172,1
12.2,68.78,0.074,0.066,0.122,37622.27848,44500.27848,1
13.1,65.44,0.074,0.04,0.141,36953.92405,43033.810574822695,1
13.2,63.84,0.074,0.081,0.093,36394.93671,45456.098000322585,1
13.18,63.97,0.075,0.081,0.093,35289.11392,44354.969833978495,1
12.64,66.77,0.072,0.044,0.141,34438.48101,40424.103705035464,1
12.39,68.04,0.074,0.084,0.115,33678.98734,41009.55777478261,1
12.24,69.18,0.077,0.059,0.119,33077.46835,40193.12549285714,1
12.11,69.94,0.074,0.088,0.082,32117.46835,42446.412252439026,1
12.07,70.7,0.076,0.033,0.078,31357.97468,42298.346474871796,1
11.99,70.8,0.075,0.055,0.134,30701.77215,37036.78707537313,1
11.32,74.7,0.075,0.07,0.1,29681.01266,38137.05266,1
11.37,74.8,0.074,0.084,0.082,28830.37975,39202.03828658536,1
11.41,74.1,0.076,0.077,0.122,27748.86076,34679.03289114754,1
11.01,75.8,0.076,0.033,0.163,26703.79747,31823.78520006135,1
10.74,77.3,0.078,0.084,0.108,26169.11392,33856.16947555556,0
10.47,78.2,0.078,0.088,0.13,25622.27848,31920.386172307695,0
10.31,79.2,0.076,0.091,0.134,24972.1519,31065.823541791047,0
10.63,79.3,0.079,0.037,0.152,24437.46835,29983.251244736843,0
10.84,78.4,0.073,0.062,0.156,23914.93671,29362.731581794873,0
10.94,78.1,0.074,0.084,0.108,23629.36709,31540.60783074074,0
11.12,77.9,0.073,0.055,0.145,23118.98734,29093.111477931034,0
11.02,77.5,0.081,0.062,0.178,22736.20253,27534.236237865167,0
10.5,78.9,0.076,0.066,0.145,22049.62025,27763.06852586207,0
10.22,79.8,0.078,0.088,0.126,21855.18987,28327.856536666666,0
10.42,81.3,0.075,0.073,0.13,21685.06329,28201.57098230769,0
10.86,80.0,0.076,0.066,0.159,21533.16456,26997.31550339623,0
11.17,77.3,0.077,0.066,0.13,21107.8481,27749.701946153844,0
11.1,75.6,0.077,0.077,0.156,20986.32911,26365.55987923077,0
11.14,75.0,0.081,0.07,0.156,20725.06329,26080.83252076923,0
11.21,75.2,0.077,0.062,0.137,20889.11392,27042.340197372265,0
10.71,77.4,0.079,0.07,0.148,20433.41772,26034.458260540545,0
10.7,77.7,0.079,0.062,0.159,20372.65823,25601.526154528303,0
10.58,78.6,0.075,0.055,0.137,20135.6962,26205.68160145985,0
10.59,79.5,0.078,0.084,0.145,20129.62025,25935.861629310344,0
10.68,79.4,0.079,0.059,0.156,20117.46835,25553.31450384615,0
10.52,79.8,0.076,0.066,0.145,20087.08861,25876.716196206897,0
10.34,80.6,0.078,0.088,0.119,19740.75949,26744.154447983194,0
10.18,81.7,0.079,0.059,0.159,19831.89873,25062.75407591195,0
10.41,82.3,0.074,0.077,0.126,19989.87342,26789.42103904762,0
10.41,81.4,0.078,0.095,0.134,20166.07595,26489.762517164178,0
10.39,81.5,0.074,0.088,0.119,20214.68354,27330.523876134455,0
10.16,81.9,0.075,0.073,0.122,20141.77215,26962.296740163936,0
9.97,82.8,0.077,0.066,0.178,20056.70886,24694.439197078653,0
10.03,83.8,0.08,0.029,0.163,20257.21519,25413.742797361963,0
9.98,83.0,0.078,0.073,0.115,20500.25316,27703.20968173913,0
9.74,82.8,0.081,0.106,0.126,20712.91139,27113.48281857143,0
9.54,83.7,0.078,0.081,0.174,20810.12658,25399.195545517243,0
9.53,83.9,0.072,0.066,0.182,21041.01266,25434.237934725275,0
9.56,84.1,0.073,0.077,0.134,21709.36709,27709.33723925373,0
9.58,84.5,0.075,0.048,0.134,22742.27848,28783.397882985075,0
9.44,84.1,0.075,0.07,0.145,22948.86076,28424.06076,0
9.4,84.4,0.077,0.07,0.122,23258.73418,29761.684999672132,0
9.38,84.6,0.076,0.044,0.141,23471.39241,29099.39241,0
9.16,84.7,0.077,0.048,0.145,23653.67089,29004.374338275862,0
9.06,85.6,0.076,0.059,0.141,23769.11392,29269.369239148935,0
9.17,85.8,0.078,0.073,0.163,23380.25316,28207.161135460123,0
9.46,86.2,0.076,0.07,0.152,23033.92405,28398.73983947369,0
9.74,85.4,0.072,0.077,0.111,22803.03797,30296.69562765766,0
9.8,84.4,0.077,0.081,0.122,23082.53165,29862.203781147542,0
9.58,83.9,0.079,0.073,0.13,22803.03797,28985.822585384616,0
9.51,83.7,0.082,0.081,0.137,22268.35443,28078.47851759124,0
9.44,83.2,0.084,0.124,0.223,22742.27848,26264.287448609866,0
9.18,82.5,0.083,0.871,0.89,23526.07595,24377.031006179775,0
8.96,83.4,0.083,2.95,2.867,24340.25316,24600.896341025462,0
8.71,83.9,0.081,6.657,6.472,24881.01266,24993.92505184178,0
8.52,85.1,0.081,13.02,11.56,25190.88608,25253.606841245673,0
8.43,85.4,0.079,39.1,19.49,25531.13924,25568.07725949718,0
8.44,85.9,0.08,64.11,24.49,25980.75949,26010.363246635363,0
8.69,86.7,0.079,92.3,27.88,23495.6962,23522.719980487804,0
9.02,86.7,0.082,117.2,30.43,23629.36709,23655.06653134078,0
9.17,86.9,0.079,134.7,33.24,24006.07595,24030.04926528279,0
10.48,87.0,0.079,169.2,35.2,24771.64557,24797.547842727272,0
11.13,83.5,0.08,194.0,36.92,25148.35443,25173.52655892741,0
11.68,81.7,0.08,218.3,39.07,25518.98734,25543.411604141285,0
12.22,78.0,0.075,246.6,40.01,25695.18987,25719.012914238938,0
12.61,74.8,0.076,270.6,40.59,26351.39241,26374.630350379404,0
13.07,72.7,0.075,288.3,42.31,26667.34177,26689.79955775703,0
13.61,70.2,0.077,309.8,43.74,26794.93671,26816.779919876546,0
14.0,69.22,0.077,337.2,43.39,27281.01266,27303.346838382116,0
14.55,64.11,0.077,360.7,41.43,27645.56962,27668.08471775525,0
14.94,58.46,0.077,381.4,41.13,27773.16456,27794.399483413566,0
15.08,57.23,0.076,396.6,40.66,27894.68354,27915.909029424496,0
15.18,55.83,0.076,410.8,41.23,28532.65823,28553.21363625758,0
15.28,56.49,0.075,425.6,41.84,28818.22785,28838.85804120459,0
15.27,55.93,0.076,440.2,41.83,28684.55696,28704.974151011236,0
15.21,55.69,0.077,452.5,41.73,28939.74684,28960.045064299065,0
15.18,57.2,0.078,460.5,42.38,29152.40506,29172.893403558282,0
15.11,57.86,0.074,469.9,43.43,29674.93671,29695.067140577943,1
15.1,58.33,0.076,476.2,43.25,29826.83544,29847.20036485549,1
15.26,58.8,0.076,482.3,44.1,29905.82278,29926.169446666667,1
15.15,60.87,0.075,485.1,44.53,29990.88608,30011.59527604761,1
15.23,60.53,0.076,487.1,44.09,29966.58228,29987.491145956,1
15.22,60.2,0.077,487.6,44.43,29881.51899,29902.14118221247,1
15.22,59.83,0.076,486.9,44.29,29760.0,29780.560230300292,1
15.33,59.16,0.076,484.1,43.72,29292.1519,29312.895788380603,1
15.41,58.13,0.076,481.1,43.82,29140.25316,29160.69549911456,1
15.43,58.0,0.077,477.2,43.68,28872.91139,28893.399943113553,1
15.56,56.03,0.075,470.9,42.8,28672.40506,28692.77484504673,1
15.59,55.73,0.075,463.4,42.58,28502.27848,28522.6831465101,1
15.47,56.29,0.077,451.8,42.83,28684.55696,28704.888650403926,1
15.55,55.99,0.074,441.9,41.88,28617.72152,28638.51054817574,1
15.57,56.53,0.076,427.9,42.14,28635.94937,28656.83622571903,1
15.64,55.35,0.077,413.9,41.5,28556.96203,28577.82164445783,0
15.59,55.76,0.077,399.4,40.61,28721.01266,28742.41867822211,0
15.58,57.03,0.077,381.1,42.48,28696.70886,28717.625230056496,0
15.49,57.19,0.075,364.3,45.96,29049.11392,29068.3887916275,0
15.45,57.86,0.075,345.8,57.35,29255.6962,29271.28359319965,0
15.36,57.72,0.075,324.6,79.5,29012.65823,29023.810169622644,0
15.38,58.02,0.074,302.9,121.3,29091.64557,29099.002104212697,0
15.37,58.59,0.077,280.3,184.0,29030.88608,29035.78025554348,0
15.23,59.76,0.077,260.6,238.0,29267.8481,29271.672237815124,0
15.23,61.12,0.075,238.2,253.4,29480.50633,29484.179801191793,0
15.24,61.63,0.075,216.8,248.1,30161.01266,30164.798396396614,0
15.19,61.72,0.075,192.0,227.3,31011.64557,31015.770192965243,0
15.17,61.76,0.077,165.5,200.6,31029.87342,31034.54390454636,0
15.22,59.95,0.076,142.6,175.0,32390.88608,32396.100017142857,1
15.17,61.92,0.076,119.9,148.2,33685.06329,33691.40152481781,1
15.02,62.32,0.076,98.7,123.7,35659.74684,35667.313908714634,1
14.9,61.82,0.079,77.5,98.6,38187.34177,38196.68373754564,1
14.81,61.79,0.078,58.1,75.3,40648.10127,40660.254123917664,1
14.68,62.05,0.079,22.4,25.24,41565.56962,41601.658922694136,1
14.54,64.02,0.074,11.04,11.2,41644.55696,41727.66863857143,1
14.38,64.55,0.077,6.504,6.524,41814.68354,41956.962663237275,1
14.23,65.55,0.076,3.071,3.089,41766.07595,42068.04309146973,1
14.11,65.79,0.081,0.933,0.946,41753.92405,42735.21041363636,1
14.03,66.72,0.074,0.143,0.189,41808.60759,46761.4202884127,1
13.95,67.52,0.074,0.037,0.119,41699.24051,49614.40017386555,1
13.87,68.59,0.075,0.066,0.1,41280.0,50793.433,1
13.74,69.46,0.074,0.081,0.093,41583.79747,51845.952308709675,1
13.55,69.9,0.076,0.029,0.104,41851.13924,50958.30270153846,1
13.43,69.86,0.076,0.04,0.108,41608.10127,50295.32164037037,1
13.35,69.86,0.076,0.073,0.078,41395.44304,53352.250732307686,1
13.2,70.5,0.076,0.055,0.122,41273.92405,48901.79290245902,1
13.42,68.89,0.073,0.055,0.096,40939.74684,50569.99475666667,1
13.55,68.12,0.077,0.055,0.074,41249.62025,53722.94457432433,1
13.42,68.52,0.075,0.055,0.093,41316.4557,51203.96537741935,1
13.3,69.03,0.075,0.055,0.093,41182.78481,51054.81706806451,1
13.33,68.72,0.076,0.066,0.108,41061.26582,49543.09544962963,1
13.45,68.59,0.075,0.066,0.122,40830.37975,48392.146143442624,1
13.47,66.99,0.074,0.048,0.078,40830.37975,52399.037442307694,1
13.29,66.99,0.075,0.051,0.067,40356.4557,53644.472117910445,1
13.15,66.42,0.078,0.055,0.093,39797.46835,49189.11351129033,1
13.03,66.62,0.074,0.07,0.085,39116.96203,49329.41614764706,1
12.93,67.29,0.076,0.07,0.111,38564.05063,46402.426305675675,1
12.88,67.46,0.075,0.051,0.119,38102.27848,45403.831421176474,1
12.86,67.76,0.074,0.084,0.093,37792.40506,47162.228715913974,1
12.87,67.96,0.075,0.066,0.134,37117.97468,43645.177665074625,1
12.92,68.52,0.074,0.037,0.148,36218.73418,42200.34499081081,1
12.96,68.62,0.075,0.102,0.063,35191.89873,49308.013015714285,1
12.88,69.33,0.075,0.062,0.152,34754.43038,40629.235643157896,1
12.77,69.86,0.075,0.11,0.1,33909.87342,42830.99542000001,1
12.82,70.1,0.075,0.077,0.1,32785.82278,41772.64278,1
12.75,70.4,0.071,0.051,0.152,31916.96203,37822.225187894735,1
12.54,71.5,0.077,0.051,0.1,30252.1519,39218.2519,1
12.23,72.9,0.077,0.059,0.111,29346.83544,37378.970575135136,1
12.19,72.8,0.077,0.07,0.122,28593.41772,35867.450506885245,1
12.31,72.6,0.072,0.044,0.152,27779.24051,33658.8852468421,1
12.08,74.0,0.076,0.117,0.093,26661.26582,36273.30883075269,1
12.16,74.0,0.072,0.07,0.141,26150.88608,32532.730051631206,1
12.07,74.1,0.074,0.102,0.119,25433.92405,32949.78119285715,0
11.48,76.8,0.077,0.07,0.145,24947.8481,31028.289479310344,0
11.45,77.7,0.074,0.073,0.115,24540.75949,32276.97688130435,0
11.8,76.6,0.076,0.018,0.23,23884.55696,27814.47000347826,0
12.23,75.1,0.074,0.062,0.145,23422.78481,29757.08136172414,0
12.39,71.0,0.078,0.062,0.148,23222.27848,29166.129831351354,0
12.42,71.4,0.077,0.059,0.159,22766.58228,28343.865298867924,0
12.4,71.5,0.075,0.062,0.156,22365.56962,28048.90295333333,0
11.84,73.4,0.079,0.073,0.152,22098.22785,27815.701534210526,0
11.51,73.0,0.076,0.044,0.148,21946.32911,27623.55883972973,0
11.35,73.6,0.081,0.095,0.134,21691.13924,27925.16909074627,0
11.27,73.8,0.077,0.055,0.159,21575.6962,26806.67733207547,0
11.33,74.5,0.073,0.044,0.13,21502.78481,27995.74634846154,0
11.44,75.0,0.078,0.081,0.119,21332.65823,28542.742263613447,0
12.26,75.5,0.076,0.073,0.163,21059.24051,26737.95216644172,0
13.08,70.9,0.076,0.062,0.174,21065.31646,26395.040597931034,0
12.78,71.8,0.078,0.055,0.156,20980.25316,26862.330083076922,0
12.34,73.2,0.076,0.088,0.152,20931.64557,26874.329780526317,0
12.2,73.8,0.072,0.084,0.178,20658.22785,25716.430097191012,0
12.04,74.7,0.077,0.077,0.134,20226.83544,26938.686186268656,0
11.96,74.9,0.077,0.07,0.137,20220.75949,26759.474818467155,0
11.92,75.2,0.077,0.059,0.182,20330.12658,25255.313393186814,0
11.85,75.1,0.083,0.077,0.156,20202.53165,25907.24318846154,0
11.66,75.5,0.084,0.07,0.156,19989.87342,25633.014445641027,0
11.55,76.1,0.077,0.055,0.156,19989.87342,25624.200343076925,0
11.6,75.1,0.081,0.073,0.137,20087.08861,26445.920726788318,0
11.17,77.8,0.076,0.077,0.148,20129.62025,26001.417547297297,0
10.83,78.5,0.076,0.066,0.148,20299.74684,26044.03738054054,0
10.74,78.6,0.077,0.048,0.189,20390.88608,24857.36227047619,0
10.57,80.3,0.081,0.04,0.152,20500.25316,26084.272896842107,0
10.49,80.3,0.08,0.084,0.141,20755.44304,26729.535238581557,0
10.69,81.6,0.078,0.073,0.074,20986.32911,32774.221001891885,0
11.22,80.0,0.076,0.077,0.171,21454.17722,26703.300027017547,0
11.36,77.9,0.077,0.062,0.174,22122.53165,27208.416707471268,0
11.44,77.5,0.079,0.102,0.122,22954.93671,30222.1498247541,0
11.49,76.7,0.073,0.084,0.159,23605.06329,29147.72366735849,0
11.33,76.8,0.075,0.062,0.145,24255.18987,30256.182973448274,0
11.16,77.3,0.082,0.048,0.163,24656.20253,29948.64424779141,0
10.89,77.5,0.082,0.099,0.111,24552.91139,32156.28976837838,0
10.27,80.2,0.078,0.077,0.148,24607.59494,30172.82466972973,0
10.15,80.8,0.08,0.055,0.193,24534.68354,28784.009964870467,0
10.0,81.6,0.077,0.062,0.145,24662.27848,30289.86468689655,0
9.9,81.5,0.076,0.048,0.171,24534.68354,29253.10459263158,0
9.67,81.6,0.08,0.084,0.145,24151.89873,29593.774592068967,0
9.27,81.5,0.08,0.059,0.167,23811.64557,28335.627605928144,0
9.03,81.8,0.079,0.07,0.122,23532.1519,29586.692883606556,0
8.85,82.7,0.082,0.146,0.223,23884.55696,27166.597318744396,0
8.68,83.1,0.083,0.834,0.849,24522.53165,25372.128823144878,0
8.54,83.7,0.078,2.88,2.815,24874.93671,25128.861399165187,0
8.38,84.9,0.081,6.306,6.119,25251.64557,25367.916529307076,0
8.5,84.9,0.079,12.91,11.68,25871.39241,25933.177512739727,0
8.48,85.7,0.082,38.0,20.54,26466.83544,26502.216939513142,0
8.4,85.3,0.082,64.8,27.42,27135.18987,27161.321161028445,0
8.51,85.5,0.083,85.3,33.31,27997.97468,28019.818120408287,0
8.8,85.0,0.084,109.4,38.03,28107.34177,28127.010452618983,0
9.09,84.1,0.081,135.3,40.0,28417.21519,28436.326914999998,0
9.62,84.5,0.082,161.3,41.16,29085.56962,29105.31913409135,0
10.89,85.9,0.085,191.6,40.65,29383.29114,29406.30346472325,0
12.43,83.3,0.079,220.3,41.27,30057.72152,30082.810422350376,0
13.02,77.5,0.084,245.9,42.92,30756.4557,30779.965718639327,0
13.38,74.4,0.078,269.7,43.12,30932.65823,30955.74431534323,0
13.64,73.2,0.079,294.9,43.18,31272.91139,31296.034317281148,0
13.88,72.2,0.084,319.0,43.25,31844.05063,31867.221404566477,0
14.16,72.3,0.081,339.3,43.08,32281.51899,32305.2833354039,0
14.54,69.24,0.084,361.2,43.97,32749.36709,32772.26337382988,0
14.75,67.1,0.078,380.3,44.96,32974.17722,32996.19067640569,0
14.87,66.57,0.08,397.2,45.17,33004.55696,33026.47185705557,0
15.0,65.1,0.083,413.4,44.82,33217.21519,33239.00233859438,0
15.08,64.4,0.079,428.2,44.18,33332.65823,33354.63994118153,0
15.18,64.23,0.077,440.5,45.02,33113.92405,33135.58134453576,0
15.28,64.43,0.074,452.5,44.71,33168.60759,33190.627057680606,0
15.19,63.6,0.074,462.8,45.04,33751.89873,33773.34819714032,0
15.18,64.77,0.075,470.7,44.71,34019.24051,34041.23130847909,0
15.21,65.33,0.076,478.0,45.15,34116.4557,34138.46387940199,0
15.31,64.2,0.074,484.0,44.76,34468.86076,34490.82014337802,0
15.35,63.13,0.073,488.8,44.76,34468.86076,34490.510570098304,0
15.43,62.93,0.073,492.7,44.55,34341.26582,34363.06177735129,0
15.39,62.9,0.074,493.3,44.78,33964.55696,33986.17444548459,0
15.41,62.83,0.074,491.9,44.84,33502.78481,33524.37736798394,0
15.57,62.7,0.077,490.1,44.76,33302.27848,33324.089002788205,0
15.37,63.4,0.076,487.1,44.94,33356.96203,33378.64556360036,0
15.49,63.46,0.075,480.4,45.25,33271.89873,33293.62238524862,0
15.57,63.7,0.073,472.9,45.01,32627.8481,32649.88340326594,0
15.48,63.76,0.075,465.8,44.23,32694.68354,32716.998819222248,0
15.36,64.16,0.073,455.2,44.07,32366.58228,32388.944376664396,0
15.35,64.19,0.074,443.9,43.33,32269.36709,32292.10691229402,0
15.41,64.1,0.074,430.9,43.09,32293.67089,32316.594561385475,0
15.36,65.23,0.075,415.4,43.03,32208.60759,32231.892107778294,0
15.44,64.86,0.075,401.3,43.02,32251.13924,32274.417677935846,0
15.48,64.1,0.075,385.4,45.37,32567.08861,32588.95918527,0
15.45,64.86,0.076,366.1,53.46,32366.58228,32385.326892794612,0
15.44,64.93,0.074,348.4,72.7,32336.20253,32349.992340178815,0
15.34,65.3,0.075,328.3,104.5,32257.21519,32266.800855071768,0
15.3,65.83,0.075,306.7,155.7,31983.79747,31990.26631393064,0
15.34,66.4,0.075,283.3,215.7,31777.21519,31781.937378224386,0
15.34,66.83,0.071,259.9,256.6,31874.43038,31878.42559512081,0
